Marka,Model,Değerlendirme Sayısı,Soru-Cevap Sayısı,Değerlendirme Puanı,Fiyat,İşlemci Tipi,Ram (Sistem Belleği),SSD Kapasitesi,İşletim Sistemi,Çözünürlük,Ekran Yenileme Hızı,Ekran Kartı,Ekran Boyutu,Kullanım Amacı,Cihaz Ağırlığı,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Çekirdek Sayısı,İşlemci Nesli,Hard Disk Kapasitesi,Dokunmatik Ekran,Panel Tipi,Çözünürlük Standartı,Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,Garanti Tipi,Bağlantılar,Ekran Kartı Bellek Tipi,Temel İşlemci Hızı (GHz),Klavye,Maksimum İşlemci Hızı (GHz),Garanti Süresi,Renk,Kapasite,İşlemci Frekansı,Power Supply,Optik Sürücü Tipi,HDMI,Okula Dönüş,Beden,Şarjlı Kullanım Süresi,Ekran Kartı Gücü,Soket Tipi
CASPER,Excalibur G770.1270-BVJ0X-B i7-12700H 16GB RAM 500GB SSD 4GB RTX3050 DOS GAMING LAPTOP,12,22,4.6,32.299 TL,Intel Core i7,16 GB,500 GB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 3050,"15,6 inç",Oyun,2 - 4 kg,Harici,4 GB ve altı,12700H,10,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,64 GB,Casper Türkiye Garantili,Bluetooth,GDDR6,2.3,Q Türkçe,4.7,2 Yıl,Siyah,,,,,,,,,,
Zeiron,"Dr15 i5 3470 16GB 256GB SSD+1TB HDD Rx550 4GB 23.8"" Curved Oyuncu Masaüstü Bilgisayar",143,670,4.5,,Intel Core i5,16 GB,256 GB,Free Dos,1920 x 1080,75 Hz,AMD Radeon RX 550,22 - 24 inç,,4 kg ve üzeri,Harici,4 GB ve altı,,4,,1 TB,,VA,Full HD (FHD),DDR3,16 GB,Zeiron Türkiye Garantili,HDMI,GDDR5,3.2,RGB,,2 Yıl,,1 TB,3.00 GHz üstü,500 W ve üstü,Yok,Var,Üniversite,Tek Ebat,,,
RAMTECH,"BFX10 EKSTRA RYZEN 5 5600G 32RAM 1TB-SSD 1TB-HDD RTX4060 X120SIVI SOĞUTUCU 24""CURVED OYUN PC",1,38,5.0,,AMD Ryzen 5,32 GB,1 TB,Free Dos,1920 x 1080,,Nvidia GeForce RTX 4060,"24"" / 61 Ekran",,4 kg ve üzeri,Harici,8 GB,,6,,1 TB,,,Full HD (FHD),DDR4,32 GB,Resmi Distribütör Garantili,Wi-Fi,GDDR6,3.9,Q Türkçe,,2 Yıl,,1 TB,3.00 GHz üstü,500 W ve üstü,Yok,Var,,,,,
Zeiron,"Sx75 Plus I7-860 16gb 240gb Gt730 24"" Dual Curved Oyuncu Masaüstü Bilgisayar",300,2264,4.5,13.970 TL,Intel Core i7,16 GB,240 GB,Free Dos,1920 x 1080,,Nvidia GeForce GT 730,"24"" / 61 Ekran",,2 - 4 kg,Harici,4 GB ve altı,,4,,240 GB,,IPS,Full HD (FHD),,16 GB,Resmi Distribütör Garantili,Wi-Fi,DDR3,2.8,RGB,,2 Yıl,,240,3.00 GHz üstü,500 W ve üstü,Yok,Var,,,,,
IZOLY,"N12x I5-3470 16gb 256gb Ssd 1tb Hdd gt 740 4gb 24"" Oyuncu Masaüstü Bilgisayar",224,1946,4.4,11.999 TL,Intel Core i5,16 GB,256 GB,Free Dos,1920 x 1080,100 Hz,Nvidia Geforce GT 740,"24"" / 61 Ekran",,4 kg ve üzeri,Harici,4 GB ve altı,,4,,1 TB,,VA,Full HD (FHD),DDR3,16 GB,İzoly Türkiye Garantisi,HDMI,DDR3,3.2,Q Türkçe,,2 Yıl,,1 TB,3.00 GHz üstü,500 W ve üstü,Yok,Var,,,,,
HP,Victus 16-r1015nt 9j217ea I7-14700hx 16gb Ram 1tb Ssd 8gb Rtx4070 16.1'' Fhd 144hz Win11home,4,29,5.0,58.999 TL,Intel Core i7,16 GB,1 TB,Windows,1920 x 1080,144 Hz,Nvidia GeForce RTX 4070,"16,1 inç",Oyun,2 - 4 kg,Harici,8 GB,14700HX,20,14. Nesil,HDD Yok,Var,IPS,Full HD (FHD),DDR5,,HP Türkiye Garantili,USB - Bluetooth - HDMI,GDDR6,,Q Türkçe (Aydınlatmalı),+5,2 Yıl,Mika Gümüş,,,,,,,,,,
MONSTER,"Huma H5 V4.1 Black Intel Core I5 1235u 16 Gb Ram 500 Gb Ssd Freedos 15,6"" Fhd 120 Hz",9,31,4.6,23.689 TL,Intel Core i5,16 GB,500 GB,Free Dos,1920 x 1080,120 Hz,Intel Iris Graphics,"15,6 inç",Ofis - İş,2 kg ve altı,Dahili,Paylaşımlı,1235U,10,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,64 GB,Monster Türkiye Garantili,USB - Bluetooth - HDMI,Dahili,1.3,Q Türkçe + Numerik (Aydınlatmalı),4.4,2 Yıl,Siyah,,,,Yok,,,,4-6 Saat,,
IZOLY,Lotus X I5-4570 16gb 256gb Ssd Rx580 24'' 100hz Oyuncu Masaüstü Bilgisayarı,164,693,4.6,"13.279,03 TL",Intel Core i5,16 GB,256 GB,Free Dos,1920 x 1080,100 Hz,AMD Radeon RX 580,"24"" / 61 Ekran",,4 kg ve üzeri,Harici,8 GB,,4,,HDD Yok,,TN,Full HD (FHD),DDR3,16 GB,Resmi Distribütör Garantili,HDMI,DDR5,3.3,Q Türkçe,,2 Yıl,,256 GB,3.00 GHz üstü,500 W ve üstü,Yok,Var,,,,,
CASPER,Excalibur G870.1270-DXB0X-B Intel Core i7-12700H 32GB RAM 2TB NVMe SSD 8GB RTX4060 DOS GAMING LAPTOP,224,274,4.4,42.999 TL,Intel Core i7,32 GB,2 TB,Free Dos,1920 x 1080,144 Hz,Nvidia GeForce RTX 4060,"15,6 inç",Oyun,2 - 4 kg,Harici,8 GB,12700H,14,12. Nesil,HDD Yok,Yok,IPS,Full HD (FHD),DDR4,64 GB,Casper Türkiye Garantili,Bluetooth,GDDR6,Belirtilmemiş,Q Türkçe + Numerik (RGB Aydınlatmalı),4.7,2 Yıl,Gri,,,,,,,,6 Saat ve Üstü,,
ASUS,E510ma-br580w/ Cel N4020/ 4gb Ram/ 128ssd/ Windows 11 Laptop,136,359,4.3,9.149 TL,Intel Celeron,4 GB,128 GB,Windows,1366 x 768,60 Hz,Dahili Ekran Kartı,"15,6 inç",Ev - Okul,2 kg ve altı,Dahili,Paylaşımlı,N4020,Belirtilmemiş,Belirtilmemiş,128 GB,Yok,,HD Ready (HD),DDR4,,Resmi Distribütör Garantili,Bluetooth - USB,Belirtilmemiş,1.1,Q Türkçe,,2 Yıl,Siyah,,,,Yok,,,,,,
